2026-06-10 11:46:14 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  tracklogger - Create organisation request received | name=HTI Technologies Pvt Ltd
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  tracklogger - Entity updated successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:41:31 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:41:31 [http-nio-9329-exec-5] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  tracklogger - Updating entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  tracklogger - Validating updated attributes against metadata template | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  tracklogger - Attributes validation passed for update | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  tracklogger - Entity updated successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:43:13 [http-nio-9329-exec-9] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:43:13 [http-nio-9329-exec-9] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-10 12:43:58 [http-nio-9329-exec-8] INFO  tracklogger - Fetching entities by org | orgId=828f7417-3f59-4f88-a193-a75e9b86940e
2026-06-10 12:43:58 [http-nio-9329-exec-8] INFO  tracklogger - Entities fetched successfully | orgId=828f7417-3f59-4f88-a193-a75e9b86940e count=1
2026-06-10 12:46:59 [http-nio-9329-exec-1] INFO  tracklogger - Fetching entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:46:59 [http-nio-9329-exec-1] INFO  tracklogger - Entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:50:57 [http-nio-9329-exec-3] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:50:57 [http-nio-9329-exec-3] INFO  tracklogger - Organisations fetched successfully | totalElements=3
2026-06-10 12:52:03 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:52:03 [http-nio-9329-exec-5] INFO  tracklogger - Organisations fetched successfully | totalElements=3
2026-06-10 12:54:48 [http-nio-9329-exec-7] INFO  tracklogger - Create organisation request received | name=ApexNova Consulting Pvt Ltd
2026-06-10 12:54:48 [http-nio-9329-exec-7] INFO  tracklogger - Organisation created successfully | id=6f136498-3ec5-467c-81db-0e0e94318b0b name=ApexNova Consulting Pvt Ltd
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  tracklogger - Creating entity metadata | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b entityType=Department
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  tracklogger - Entity metadata created successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  tracklogger - Updating entity metadata | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  tracklogger - Entity metadata updated successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:59:23 [http-nio-9329-exec-3] INFO  tracklogger - Fetching entity metadata | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:59:23 [http-nio-9329-exec-3] INFO  tracklogger - Entity metadata fetched successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:34 [http-nio-9329-exec-5] INFO  tracklogger - Fetching entity metadata | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:34 [http-nio-9329-exec-5] INFO  tracklogger - Entity metadata fetched successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:53 [http-nio-9329-exec-6] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Department
2026-06-10 13:00:53 [http-nio-9329-exec-6] INFO  tracklogger - Entity metadata fetched successfully | entityType=Department count=2
2026-06-10 13:05:30 [http-nio-9329-exec-9] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Branch
2026-06-10 13:05:30 [http-nio-9329-exec-9] INFO  tracklogger - Entity metadata fetched successfully | entityType=Branch count=2
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  tracklogger - Creating entity | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  tracklogger - Validating attributes against metadata template | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  tracklogger - Attributes validation passed | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  tracklogger - Entity created successfully | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  tracklogger - Updating entity | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  tracklogger - Validating updated attributes against metadata template | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  tracklogger - Attributes validation passed for update | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  tracklogger - Entity updated successfully | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:25:57 [http-nio-9329-exec-4] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Team
2026-06-10 13:25:57 [http-nio-9329-exec-4] ERROR tracklogger - No entity metadata found | entityType=Team
2026-06-10 13:42:30 [http-nio-9329-exec-8] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 13:42:30 [http-nio-9329-exec-8] INFO  tracklogger - Entity metadata fetched successfully | totalElements=4
2026-06-10 19:15:19 [http-nio-9329-exec-1] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 19:15:20 [http-nio-9329-exec-1] INFO  tracklogger - Organisation entities fetched successfully | totalElements=2
2026-06-10 19:32:51 [http-nio-9329-exec-3] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 19:32:51 [http-nio-9329-exec-3] INFO  tracklogger - Entity metadata fetched successfully | totalElements=4
