2026-06-09 13:05:54 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-09 13:07:06 [http-nio-9329-exec-4] INFO  tracklogger - Create organisation request received | name=HTI Technologies
2026-06-09 13:26:26 [http-nio-9329-exec-10] INFO  tracklogger - Fetching entities by org | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:26:26 [http-nio-9329-exec-10] INFO  tracklogger - Entities fetched successfully | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 count=1
2026-06-09 13:26:56 [http-nio-9329-exec-6] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:26:56 [http-nio-9329-exec-6] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-09 13:27:52 [http-nio-9329-exec-1] INFO  tracklogger - Searching entity by attribute | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 key=manager value=John Doe
2026-06-09 13:27:52 [http-nio-9329-exec-1] INFO  tracklogger - Entities found successfully | key=manager value=John Doe count=1
2026-06-09 13:28:36 [http-nio-9329-exec-2] INFO  tracklogger - Linking meta to entity | id=23298143-1d94-4972-b127-4634af18c105 metaId=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:28:36 [http-nio-9329-exec-2] INFO  tracklogger - Meta linked to entity successfully | id=23298143-1d94-4972-b127-4634af18c105 metaId=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:29:13 [http-nio-9329-exec-3] INFO  tracklogger - Fetching entity | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:29:13 [http-nio-9329-exec-3] INFO  tracklogger - Entity fetched successfully | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:31:24 [http-nio-9329-exec-5] INFO  tracklogger - Updating entity | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:31:24 [http-nio-9329-exec-5] INFO  tracklogger - Entity updated successfully | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:33:19 [http-nio-9329-exec-7] INFO  tracklogger - Creating entity metadata | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 entityType=Department
2026-06-09 13:33:19 [http-nio-9329-exec-7] ERROR tracklogger - Entity metadata already exists | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 entityType=Department
2026-06-09 13:43:19 [http-nio-9329-exec-9] INFO  tracklogger - Updating entity metadata | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:43:19 [http-nio-9329-exec-9] INFO  tracklogger - Entity metadata updated successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:48:10 [http-nio-9329-exec-6] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:48:10 [http-nio-9329-exec-6] INFO  tracklogger - Entity metadata fetched successfully | totalElements=1
2026-06-09 15:17:41 [http-nio-9329-exec-9] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 15:17:41 [http-nio-9329-exec-9] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-09 15:21:08 [http-nio-9329-exec-6] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 15:21:08 [http-nio-9329-exec-6] INFO  tracklogger - Entity metadata fetched successfully | totalElements=1
2026-06-09 15:24:41 [http-nio-9329-exec-3] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 15:24:41 [http-nio-9329-exec-3] INFO  tracklogger - Organisations fetched successfully | totalElements=1
2026-06-09 15:26:55 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-09 15:28:04 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 15:28:04 [http-nio-9329-exec-5] INFO  tracklogger - Organisations fetched successfully | totalElements=1
2026-06-09 15:28:23 [http-nio-9329-exec-7] INFO  tracklogger - Fetching organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 15:28:23 [http-nio-9329-exec-7] INFO  tracklogger - Organisation fetched successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 15:33:49 [http-nio-9329-exec-4] INFO  tracklogger - Create organisation request received | name=Zenith Digital Ventures Pvt Ltd
2026-06-09 15:33:49 [http-nio-9329-exec-4] INFO  tracklogger - Organisation created successfully | id=b13f18da-2e07-461c-90cc-493a08154853 name=Zenith Digital Ventures Pvt Ltd
2026-06-09 15:40:41 [http-nio-9329-exec-5] INFO  tracklogger - Create organisation request received | name=Nimbus Analytics Solutions Pvt Ltd
2026-06-09 15:40:41 [http-nio-9329-exec-5] INFO  tracklogger - Organisation created successfully | id=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2 name=Nimbus Analytics Solutions Pvt Ltd
2026-06-09 15:41:20 [http-nio-9329-exec-7] INFO  tracklogger - Creating entity metadata | orgId=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2 entityType=Department
2026-06-09 15:41:20 [http-nio-9329-exec-7] INFO  tracklogger - Entity metadata created successfully | id=78332b10-0188-4a9e-9d4c-9662e5876359
2026-06-09 15:54:15 [http-nio-9329-exec-9] INFO  tracklogger - Creating entity metadata | orgId=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2 entityType=Department
2026-06-09 15:54:15 [http-nio-9329-exec-9] ERROR tracklogger - Entity metadata already exists | orgId=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2 entityType=Department
2026-06-09 15:54:48 [http-nio-9329-exec-10] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 15:54:48 [http-nio-9329-exec-10] INFO  tracklogger - Entity metadata fetched successfully | totalElements=2
2026-06-09 15:58:51 [http-nio-9329-exec-2] INFO  tracklogger - Creating entity | orgId=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2
2026-06-09 15:58:51 [http-nio-9329-exec-2] INFO  tracklogger - Entity created successfully | id=35154c35-528c-4a85-83a9-03a28743dda5
2026-06-09 15:59:50 [http-nio-9329-exec-3] INFO  tracklogger - Linking meta to entity | id=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2 metaId=78332b10-0188-4a9e-9d4c-9662e5876359
2026-06-09 15:59:50 [http-nio-9329-exec-3] ERROR tracklogger - Entity not found | id=c21c37d1-662b-4f3a-a1c2-a14fd1d9a6c2
2026-06-09 16:00:35 [http-nio-9329-exec-4] INFO  tracklogger - Linking meta to entity | id=35154c35-528c-4a85-83a9-03a28743dda5 metaId=78332b10-0188-4a9e-9d4c-9662e5876359
2026-06-09 16:00:35 [http-nio-9329-exec-4] INFO  tracklogger - Meta linked to entity successfully | id=35154c35-528c-4a85-83a9-03a28743dda5 metaId=78332b10-0188-4a9e-9d4c-9662e5876359
2026-06-09 16:04:26 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 16:04:26 [http-nio-9329-exec-5] INFO  tracklogger - Organisation entities fetched successfully | totalElements=2
2026-06-09 16:08:13 [http-nio-9329-exec-8] INFO  tracklogger - Create organisation request received | name=Vertex Cloud Systems Pvt Ltd
2026-06-09 16:08:13 [http-nio-9329-exec-8] INFO  tracklogger - Organisation created successfully | id=9ccb0a6d-6264-498e-b03a-0ee6f4c826d0 name=Vertex Cloud Systems Pvt Ltd
2026-06-09 16:08:58 [http-nio-9329-exec-9] INFO  tracklogger - Deleting organisation | id=9ccb0a6d-6264-498e-b03a-0ee6f4c826d0
2026-06-09 16:08:58 [http-nio-9329-exec-9] INFO  tracklogger - Organisation deleted successfully | id=9ccb0a6d-6264-498e-b03a-0ee6f4c826d0
2026-06-09 16:09:15 [http-nio-9329-exec-10] INFO  tracklogger - Fetching organisation | id=9ccb0a6d-6264-498e-b03a-0ee6f4c826d0
2026-06-09 16:09:15 [http-nio-9329-exec-10] ERROR tracklogger - Organisation not found | id=9ccb0a6d-6264-498e-b03a-0ee6f4c826d0
2026-06-09 16:21:15 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-09 16:22:06 [http-nio-9329-exec-6] INFO  tracklogger - Create organisation request received | name=Aurora Fintech Innovations Pvt Ltd
2026-06-09 16:22:06 [http-nio-9329-exec-6] INFO  tracklogger - Organisation created successfully | id=1eb17e93-9379-4ccd-a01d-21287071ef8c name=Aurora Fintech Innovations Pvt Ltd
2026-06-09 16:23:23 [http-nio-9329-exec-7] INFO  tracklogger - Updating organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:23:23 [http-nio-9329-exec-7] INFO  tracklogger - Organisation updated successfully | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:23:52 [http-nio-9329-exec-8] INFO  tracklogger - Fetching organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:23:52 [http-nio-9329-exec-8] INFO  tracklogger - Organisation fetched successfully | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:24:12 [http-nio-9329-exec-9] INFO  tracklogger - Soft deleting organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:24:12 [http-nio-9329-exec-9] INFO  tracklogger - Organisation soft deleted successfully | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:24:27 [http-nio-9329-exec-10] INFO  tracklogger - Fetching organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:24:27 [http-nio-9329-exec-10] ERROR tracklogger - Organisation is deleted | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:44:19 [http-nio-9329-exec-1] INFO  tracklogger - Fetching organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:44:19 [http-nio-9329-exec-1] ERROR tracklogger - Organisation is deleted | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:44:31 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisation | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:44:31 [http-nio-9329-exec-5] ERROR tracklogger - Organisation is deleted | id=1eb17e93-9379-4ccd-a01d-21287071ef8c
2026-06-09 16:45:06 [http-nio-9329-exec-6] INFO  tracklogger - Fetching organisation | id=b13f18da-2e07-461c-90cc-493a08154853
2026-06-09 16:45:06 [http-nio-9329-exec-6] INFO  tracklogger - Organisation fetched successfully | id=b13f18da-2e07-461c-90cc-493a08154853
2026-06-09 16:45:06 [http-nio-9329-exec-3] INFO  tracklogger - Fetching organisation | id=b13f18da-2e07-461c-90cc-493a08154853
2026-06-09 16:45:06 [http-nio-9329-exec-3] INFO  tracklogger - Organisation fetched successfully | id=b13f18da-2e07-461c-90cc-493a08154853
2026-06-09 16:46:53 [http-nio-9329-exec-6] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 16:46:53 [http-nio-9329-exec-6] INFO  tracklogger - Organisations fetched successfully | totalElements=3
2026-06-09 16:48:59 [http-nio-9329-exec-8] INFO  tracklogger - Updating organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:48:59 [http-nio-9329-exec-8] INFO  tracklogger - Organisation updated successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:49:24 [http-nio-9329-exec-9] INFO  tracklogger - Updating organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:49:24 [http-nio-9329-exec-9] INFO  tracklogger - Organisation updated successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:50:10 [http-nio-9329-exec-1] INFO  tracklogger - Fetching organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:50:10 [http-nio-9329-exec-1] INFO  tracklogger - Organisation fetched successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 16:57:57 [http-nio-9329-exec-6] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 16:58:06 [http-nio-9329-exec-3] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 16:58:06 [http-nio-9329-exec-3] INFO  tracklogger - Organisations fetched successfully | totalElements=3
2026-06-09 17:06:36 [http-nio-9329-exec-10] INFO  tracklogger - Fetching organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 17:06:36 [http-nio-9329-exec-10] INFO  tracklogger - Organisation fetched successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 17:15:35 [http-nio-9329-exec-2] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 17:15:35 [http-nio-9329-exec-2] INFO  tracklogger - Organisations fetched successfully | totalElements=3
