2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  dblogger - DB check – organisation existence | email=admin@htitech.com
2026-06-10 11:56:43 [http-nio-9329-exec-7] INFO  dblogger - DB insert – organisation saved successfully | id=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  dblogger - DB check – organisation exists | orgId=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  dblogger - DB check – entity metadata duplicate | orgId=8a578f7b-11f8-48c0-8267-eacb1279a319 entityType=Department
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  dblogger - DB insert – saving entity metadata | orgId=8a578f7b-11f8-48c0-8267-eacb1279a319 entityType=Department
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  dblogger - DB insert – entity metadata saved successfully | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  dblogger - DB check – organisation exists | orgId=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  dblogger - DB check – entity metadata duplicate | orgId=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b entityType=Branch
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  dblogger - DB insert – saving entity metadata | orgId=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b entityType=Branch
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  dblogger - DB insert – entity metadata saved successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:04:01 [http-nio-9329-exec-3] INFO  dblogger - DB select – querying entity metadata | orgId=null entityType=null isActive=true
2026-06-10 12:04:01 [http-nio-9329-exec-3] INFO  dblogger - DB select – entity metadata query complete | totalElements=2
2026-06-10 12:05:18 [http-nio-9329-exec-5] INFO  dblogger - DB select – fetching entity metadata by id | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:05:18 [http-nio-9329-exec-5] INFO  dblogger - DB select – entity metadata fetched successfully | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:06:02 [http-nio-9329-exec-6] INFO  dblogger - DB select – fetching entity metadata by id | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:06:02 [http-nio-9329-exec-6] INFO  dblogger - DB select – entity metadata fetched successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  dblogger - DB select – fetching entity metadata for update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  dblogger - DB check – checking linked entities before metadata key update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  dblogger - DB update – saving entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  dblogger - DB update – entity metadata saved successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:15 [http-nio-9329-exec-9] INFO  dblogger - DB select – fetching entity metadata by id | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:15 [http-nio-9329-exec-9] INFO  dblogger - DB select – entity metadata fetched successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:53 [http-nio-9329-exec-10] INFO  dblogger - DB select – fetching entity metadata by entityType | entityType=Branch
2026-06-10 12:08:53 [http-nio-9329-exec-10] INFO  dblogger - DB select – entity metadata fetched | entityType=Branch count=1
2026-06-10 12:09:04 [http-nio-9329-exec-1] INFO  dblogger - DB select – fetching entity metadata by entityType | entityType=Department
2026-06-10 12:09:04 [http-nio-9329-exec-1] INFO  dblogger - DB select – entity metadata fetched | entityType=Department count=1
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  dblogger - DB select – fetching entity metadata for update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  dblogger - DB check – checking linked entities before metadata key update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  dblogger - DB update – saving entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  dblogger - DB update – entity metadata saved successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  dblogger - DB select – fetching entity metadata for update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  dblogger - DB check – checking linked entities before metadata key update | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  dblogger - DB update – saving entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  dblogger - DB update – entity metadata saved successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:26:04 [http-nio-9329-exec-6] INFO  dblogger - DB check – organisation existence | email=admin@novaedge.io
2026-06-10 12:26:05 [http-nio-9329-exec-6] INFO  dblogger - DB insert – saving organisation | name=NovaEdge Technologies Pvt Ltd
2026-06-10 12:26:05 [http-nio-9329-exec-6] INFO  dblogger - DB insert – organisation saved successfully | id=828f7417-3f59-4f88-a193-a75e9b86940e
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  dblogger - DB check – organisation exists | orgId=828f7417-3f59-4f88-a193-a75e9b86940e
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  dblogger - DB check – entity metadata duplicate | orgId=828f7417-3f59-4f88-a193-a75e9b86940e entityType=Branch
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  dblogger - DB insert – saving entity metadata | orgId=828f7417-3f59-4f88-a193-a75e9b86940e entityType=Branch
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  dblogger - DB insert – entity metadata saved successfully | id=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  dblogger - DB check – organisation exists | orgId=828f7417-3f59-4f88-a193-a75e9b86940e
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  dblogger - DB check – entity metadata exists | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  dblogger - DB insert – saving entity | orgId=828f7417-3f59-4f88-a193-a75e9b86940e metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  dblogger - DB insert – entity saved successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:32:05 [http-nio-9329-exec-1] INFO  dblogger - DB select – querying entities | priority=null orgId=null isActive=null
2026-06-10 12:32:05 [http-nio-9329-exec-1] INFO  dblogger - DB select – entities query complete | totalElements=1
2026-06-10 12:32:30 [http-nio-9329-exec-2] INFO  dblogger - DB select – fetching entity by id | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:32:30 [http-nio-9329-exec-2] INFO  dblogger - DB select – entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:34:50 [http-nio-9329-exec-4] INFO  dblogger - DB select – fetching entity for update | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:34:50 [http-nio-9329-exec-4] INFO  dblogger - DB check – fetching metadata template for attribute validation | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:35:23 [http-nio-9329-exec-5] INFO  dblogger - DB select – fetching entity by id | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:35:23 [http-nio-9329-exec-5] INFO  dblogger - DB select – entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  dblogger - DB select – fetching entity for update | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  dblogger - DB check – fetching metadata template for attribute validation | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  dblogger - DB update – saving entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  dblogger - DB update – entity saved successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:41:31 [http-nio-9329-exec-5] INFO  dblogger - DB select – querying entities | priority=null orgId=null isActive=true
2026-06-10 12:41:31 [http-nio-9329-exec-5] INFO  dblogger - DB select – entities query complete | totalElements=1
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  dblogger - DB select – fetching entity for update | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  dblogger - DB check – fetching metadata template for attribute validation | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  dblogger - DB update – saving entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:41:56 [http-nio-9329-exec-6] INFO  dblogger - DB update – entity saved successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:43:13 [http-nio-9329-exec-9] INFO  dblogger - DB select – querying entities | priority=null orgId=null isActive=true
2026-06-10 12:43:13 [http-nio-9329-exec-9] INFO  dblogger - DB select – entities query complete | totalElements=1
2026-06-10 12:43:58 [http-nio-9329-exec-8] INFO  dblogger - DB select – fetching entities by orgId | orgId=828f7417-3f59-4f88-a193-a75e9b86940e
2026-06-10 12:43:58 [http-nio-9329-exec-8] INFO  dblogger - DB select – entities fetched | orgId=828f7417-3f59-4f88-a193-a75e9b86940e count=1
2026-06-10 12:46:59 [http-nio-9329-exec-1] INFO  dblogger - DB select – fetching entity by id | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:46:59 [http-nio-9329-exec-1] INFO  dblogger - DB select – entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:54:48 [http-nio-9329-exec-7] INFO  dblogger - DB check – organisation existence | email=admin@apexnova.in
2026-06-10 12:54:48 [http-nio-9329-exec-7] INFO  dblogger - DB insert – saving organisation | name=ApexNova Consulting Pvt Ltd
2026-06-10 12:54:48 [http-nio-9329-exec-7] INFO  dblogger - DB insert – organisation saved successfully | id=6f136498-3ec5-467c-81db-0e0e94318b0b
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  dblogger - DB check – organisation exists | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  dblogger - DB check – entity metadata duplicate | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b entityType=Department
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  dblogger - DB insert – saving entity metadata | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b entityType=Department
2026-06-10 12:56:03 [http-nio-9329-exec-8] INFO  dblogger - DB insert – entity metadata saved successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  dblogger - DB select – fetching entity metadata for update | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  dblogger - DB check – checking linked entities before metadata key update | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  dblogger - DB update – saving entity metadata | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:58:09 [http-nio-9329-exec-1] INFO  dblogger - DB update – entity metadata saved successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:59:23 [http-nio-9329-exec-3] INFO  dblogger - DB select – fetching entity metadata by id | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 12:59:23 [http-nio-9329-exec-3] INFO  dblogger - DB select – entity metadata fetched successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:34 [http-nio-9329-exec-5] INFO  dblogger - DB select – fetching entity metadata by id | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:34 [http-nio-9329-exec-5] INFO  dblogger - DB select – entity metadata fetched successfully | id=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:00:53 [http-nio-9329-exec-6] INFO  dblogger - DB select – fetching entity metadata by entityType | entityType=Department
2026-06-10 13:00:53 [http-nio-9329-exec-6] INFO  dblogger - DB select – entity metadata fetched | entityType=Department count=2
2026-06-10 13:05:30 [http-nio-9329-exec-9] INFO  dblogger - DB select – fetching entity metadata by entityType | entityType=Branch
2026-06-10 13:05:30 [http-nio-9329-exec-9] INFO  dblogger - DB select – entity metadata fetched | entityType=Branch count=2
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  dblogger - DB check – organisation exists | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  dblogger - DB check – entity metadata exists | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  dblogger - DB insert – saving entity | orgId=6f136498-3ec5-467c-81db-0e0e94318b0b metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:07:50 [http-nio-9329-exec-10] INFO  dblogger - DB insert – entity saved successfully | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  dblogger - DB select – fetching entity for update | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  dblogger - DB check – fetching metadata template for attribute validation | metaId=8f1117fb-8d9a-4858-ab9d-cef3c5510a89
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  dblogger - DB update – saving entity | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:09:19 [http-nio-9329-exec-2] INFO  dblogger - DB update – entity saved successfully | id=3acfa72a-9617-4529-9841-0b1df595804f
2026-06-10 13:25:57 [http-nio-9329-exec-4] INFO  dblogger - DB select – fetching entity metadata by entityType | entityType=Team
2026-06-10 13:25:57 [http-nio-9329-exec-4] ERROR dblogger - DB select – no entity metadata found | entityType=Team
2026-06-10 13:42:30 [http-nio-9329-exec-8] INFO  dblogger - DB select – querying entity metadata | orgId=null entityType=null isActive=true
2026-06-10 13:42:30 [http-nio-9329-exec-8] INFO  dblogger - DB select – entity metadata query complete | totalElements=4
2026-06-10 19:15:19 [http-nio-9329-exec-1] INFO  dblogger - DB select – querying entities | priority=null orgId=null isActive=true
2026-06-10 19:15:20 [http-nio-9329-exec-1] INFO  dblogger - DB select – entities query complete | totalElements=2
2026-06-10 19:32:51 [http-nio-9329-exec-3] INFO  dblogger - DB select – querying entity metadata | orgId=null entityType=null isActive=true
2026-06-10 19:32:51 [http-nio-9329-exec-3] INFO  dblogger - DB select – entity metadata query complete | totalElements=4
